articles,total_hits
"{'headline': 'The Fantasy of a Comfy Retirement Has Always Been a Mirage', 'snippet': 'On the sorry state of retirement savings in the United States, and a policy that could help.', 'web_url': 'https://www.nytimes.com/2026/03/04/opinion/gen-x-retirement.html', 'pub_date': '2026-03-04T14:02:41Z'}",0
"{'headline': 'Trump Says U.S. Is Negotiating End to War, but Iranians Push Back', 'snippet': '“Very, very strong talks,” President Trump claimed. Fake news, replied an Iranian parliamentary leader.', 'web_url': 'https://www.nytimes.com/2026/03/23/world/middleeast/iran-war-trump.html', 'pub_date': '2026-03-23T22:02:02Z'}",0
"{'headline': 'I Predicted the 2008 Financial Crisis. What Is Coming May Be Worse.', 'snippet': 'Richard Bookstaber warns that what appears to be disparate forces adding risk to our economy are all part of one deeply connected system.', 'web_url': 'https://www.nytimes.com/2026/03/16/opinion/financial-crisis-private-credit-ai-iran-taiwan.html', 'pub_date': '2026-03-16T09:00:54Z'}",0
"{'headline': 'As Kari Lake Sought to Shutter Voice of America, Parent Agency Rebuffed Auditors', 'snippet': 'A new report says the lack of information provided for a required annual examination was so “pervasive” that auditors declined to opine on the agency’s financial numbers.', 'web_url': 'https://www.nytimes.com/2026/03/09/us/politics/voice-of-america-audit.html', 'pub_date': '2026-03-09T17:24:02Z'}",0
"{'headline': 'Can Jonah Peretti Save BuzzFeed From Extinction?', 'snippet': 'Facing financial straits, the founder is betting on a skunkworks for A.I. experiments.', 'web_url': 'https://www.nytimes.com/2026/03/20/business/media/buzzfeed-jonah-peretti-ai-future.html', 'pub_date': '2026-03-20T09:04:18Z'}",0
"{'headline': 'Kennedy Center Board Votes to Close for 2-Year Renovation Project', 'snippet': 'Ahead of the vote, President Trump criticized the center’s physical condition and previous financial management.', 'web_url': 'https://www.nytimes.com/2026/03/16/arts/design/kennedy-center-renovations-trump.html', 'pub_date': '2026-03-16T17:45:51Z'}",0
"{'headline': 'How Pakistan Is Trying to Reshape Its Image Abroad', 'snippet': 'New, friendly media operations and expanded state-run television are pushing Pakistan’s message while independent news outlets face repression.', 'web_url': 'https://www.nytimes.com/2026/03/24/world/asia/pakistan-media-news-misinformation.html', 'pub_date': '2026-03-24T04:00:11Z'}",0
"{'headline': 'Private-Credit Wobbles Could Prove Perilous for Trump', 'snippet': 'The Trump administration is poised to broaden access to risky investments that are showing signs of strain.', 'web_url': 'https://www.nytimes.com/2026/03/30/business/private-credit-risks-trump-administration.html', 'pub_date': '2026-03-30T09:03:42Z'}",0
"{'headline': 'U.S. Eases Limits on Russian Energy as Oil Prices Soar', 'snippet': 'The volatility in energy markets because of the war in Iran could not come at a better time for President Vladimir V. Putin.', 'web_url': 'https://www.nytimes.com/2026/03/10/world/middleeast/iran-war-putin-russia-energy-oil-prices.html', 'pub_date': '2026-03-10T15:09:21Z'}",0
"{'headline': '‘This Is Not Our War’: Europe and U.K. Push Back Against Trump’s Demands', 'snippet': 'While some European countries said they were discussing ways to help reopen the Strait of Hormuz, several rejected President Trump’s calls to send warships.', 'web_url': 'https://www.nytimes.com/2026/03/16/world/europe/europe-iran-war-trump-hormuz-warships.html', 'pub_date': '2026-03-16T15:15:56Z'}",0
